motionValidator,Timestamp,sampler,failures,planner,pathlength,planning_time,computationtime
0,587556,0,10.0,4,5000000.0,1.6811494751834841,5000000.0
0,581893,5,0.0,3,3.6723629100000004,4.140977854771998,13843.8
0,558282,5,1.0,0,4.3060358,1.874560704867386,8930.222222222223
0,541124,4,10.0,7,5000000.0,1.4339466125027724,5000000.0
0,530164,5,2.0,1,4.5006143375,1.433466497118966,9436.75
0,511606,0,0.0,1,4.5113145,4.838358674954959,12484.7
0,489954,1,0.0,3,4.35663974,1.5797992490108808,8307.6
0,474071,4,10.0,11,5000000.0,2.785343059665244,5000000.0
0,468775,4,0.0,1,4.23551947,4.01554865811997,12611.5
0,448634,2,10.0,20,5000000.0,1.1526464174920275,5000000.0
0,443720,1,10.0,21,5000000.0,2.0115508305593393,5000000.0
0,439107,3,10.0,5,5000000.0,1.190839389918308,5000000.0
0,433974,0,10.0,18,5000000.0,1.1240613926877834,5000000.0
0,429167,3,10.0,2,5000000.0,4.021896419124262,5000000.0
0,424825,0,1.0,1,4.335855633333334,2.552388189625021,10169.777777777777
0,406160,5,10.0,4,5000000.0,4.661212128876263,5000000.0
0,392680,2,0.0,0,4.281175,4.8207517605304915,10378.8
0,372402,2,10.0,17,5000000.0,3.771201785094795,5000000.0
0,367046,3,10.0,20,5000000.0,3.9589792068970424,5000000.0
0,361411,4,5.0,6,4.2339193999999996,1.9173287998814295,10013.2
0,343352,3,10.0,10,5000000.0,4.557618939677974,5000000.0
0,337866,4,0.0,9,4.39641935,1.9353406865574865,10215.1
0,320989,4,1.0,1,4.496068488888889,2.369536228995157,11457.888888888889
0,301233,1,10.0,10,5000000.0,1.3966108897776088,5000000.0
0,296537,1,1.0,3,4.121723800000001,1.5706419723210332,9135.111111111111
0,280333,5,7.0,21,4.000828666666666,1.45851218592708,9204.333333333334
0,265370,5,5.0,8,3.7211449,2.832509758368462,11148.6
0,248130,4,6.0,15,4.1526331,4.236461224318603,13238.75
0,228866,0,0.0,0,4.64452795,4.829327823492646,8586.0
0,210116,0,10.0,8,5000000.0,2.495943053763269,5000000.0
0,205843,1,10.0,16,5000000.0,1.988292161061221,5000000.0
0,195274,0,10.0,18,5000000.0,4.821324295133369,5000000.0
0,190984,2,10.0,14,5000000.0,1.7672170454462806,5000000.0
0,186553,5,10.0,4,5000000.0,1.399011968709935,5000000.0
0,177050,3,10.0,5,5000000.0,1.2705922936337761,5000000.0
0,172438,4,5.0,15,4.48773556,3.4099145544377385,12884.8
0,152915,5,10.0,18,5000000.0,1.368223828191056,5000000.0
0,142644,1,10.0,6,5000000.0,1.632166826052167,5000000.0
0,138335,4,2.0,15,4.4899375875,4.96173661037862,13546.0
0,115672,3,10.0,2,5000000.0,1.1508155873162396,5000000.0
0,111197,4,10.0,18,5000000.0,3.6780144345810237,5000000.0
0,99433,3,10.0,15,5000000.0,3.252519695741013,5000000.0
0,94379,1,10.0,9,5000000.0,1.2216152807485128,5000000.0
0,89080,2,0.0,3,3.9444440999999997,2.262529319024084,10042.6
0,71458,1,10.0,10,5000000.0,1.4962945126063283,5000000.0
0,66845,5,2.0,6,4.1310419375,2.9096713910913063,11622.375
0,48737,1,10.0,19,5000000.0,3.078867909973329,5000000.0
0,44081,2,10.0,4,5000000.0,1.4549375858771856,5000000.0
0,39316,5,10.0,19,5000000.0,3.350996560670029,5000000.0
0,17532,5,1.0,14,4.388429288888888,1.9024689686506617,9999.333333333334
0,617626,4,5.0,6,4.18991762,1.9037226053075844,9803.0
0,647255,5,7.0,8,3.6870494666666667,1.963879972445696,10684.666666666666
0,677651,4,0.0,9,4.2970804099999995,1.7644579937034348,9478.9
0,709610,5,0.0,14,4.25530765,3.170552322535547,11026.7
0,737625,0,1.0,0,4.1641261,1.4559754152710234,7914.555555555556
0,769911,5,5.0,8,3.7419603199999996,2.900148493492405,11911.8
0,800561,5,6.0,14,4.34281945,1.654925036219528,10058.0
0,832752,2,1.0,0,4.590974977777778,1.468483862737304,9010.0
0,862379,0,0.0,3,4.253715379999999,1.4804220928422296,8804.6
0,893633,4,0.0,9,4.39174409,2.6544624560993957,9091.2
0,924169,2,0.0,0,4.34722942,1.4804220928422296,8736.3
0,940280,0,0.0,11,4.83149464,2.853998640484363,7750.8
0,958776,5,10.0,11,5000000.0,2.9644953715155413,5000000.0
0,977520,0,10.0,9,5000000.0,2.4052151780750193,5000000.0
0,1006828,4,0.0,9,4.2639757099999995,2.745618441491802,9441.2
0,1037210,5,6.0,14,4.22337265,1.7407480299179556,10092.5
0,1067866,2,0.0,3,4.12007602,1.851173225151372,9092.5
0,1086626,0,10.0,14,5000000.0,2.9345286261984533,5000000.0
0,1118455,5,3.0,14,3.9271448571428564,3.120485274540391,10923.285714285714
0,1148824,4,0.0,9,4.010551359999999,2.494926661964799,10018.3
0,1185441,0,0.0,1,4.33566366,4.719733735616185,15198.9
0,1215188,0,0.0,11,4.47355897,2.906628660783764,9418.1
0,1244592,0,0.0,11,4.517198110000001,2.832695617935477,8768.3
0,1276153,5,0.0,0,4.94185049,4.67115264983827,9692.8
0,1303742,0,0.0,11,4.220854510000001,2.914477499254705,7258.6
0,1333616,4,0.0,9,4.2117138999999995,4.137391720115044,8818.6
0,1362756,4,0.0,10,3.9049780800000002,1.7761081377504335,7887.2
0,1394446,5,1.0,1,4.552886622222221,1.4115840313166568,9279.222222222223
0,1414693,5,3.0,14,4.589211971428571,3.2791283625721195,12150.714285714286
0,1447097,0,2.0,1,4.05790275,2.568641904727934,11168.125
0,1475544,2,0.0,3,4.6417533099999995,1.4393695456750075,8082.7
0,1503258,1,0.0,3,4.12705292,1.4185961833217242,8017.7
0,1534522,0,1.0,0,4.939625166666667,2.310419031882218,8867.666666666666
0,1567947,4,0.0,9,4.53940208,2.4172836038728036,10020.9
0,1598526,4,0.0,9,4.19673438,1.5307644276605745,9831.4
0,1631991,5,3.0,20,4.248189714285714,4.8985745599337225,12535.857142857143
0,1660652,0,0.0,11,4.50446614,2.926834643883482,7558.9
0,1692233,5,4.0,14,4.255611833333333,2.3850812672037645,10159.0
0,1710742,0,10.0,10,5000000.0,1.8975687673078039,5000000.0
0,1739810,0,0.0,11,4.35203283,2.978960319046667,7857.2
0,1758610,5,9.0,13,4.3838377,1.894982064624441,12649.0
0,1788862,0,0.0,0,4.64489893,2.505454767650174,8230.7
0,1820270,2,1.0,12,4.194318088888888,2.7650797769965045,11264.888888888889
0,1848894,4,0.0,10,4.016389439999999,1.8682059649523985,7710.3
0,1868662,2,10.0,10,5000000.0,1.435271036115251,5000000.0
0,1887855,0,10.0,15,5000000.0,2.5031762548263305,5000000.0
0,1917753,0,0.0,11,4.27419597,2.949035808440446,8811.4
0,1946283,0,0.0,11,4.48261623,2.9639889975384084,7664.3
0,1978305,0,0.0,11,4.470664640000001,3.2752345204069586,7772.5
0,2010002,4,6.0,8,3.6453984999999998,2.651106009353491,11229.0
